guid,tag
4597,negative
26,neutral
4383,negative
3042,neutral
2073,negative
2688,negative
202,negative
2100,negative
4784,neutral
951,negative
396,neutral
1305,negative
4001,negative
3786,negative
3669,negative
3922,negative
1383,negative
4002,negative
2044,neutral
2787,neutral
3537,neutral
3452,negative
4442,negative
1534,negative
4047,neutral
4106,neutral
568,negative
2057,negative
1073,neutral
3095,negative
618,neutral
542,negative
195,negative
3274,negative
1502,negative
582,neutral
1547,negative
703,negative
2069,negative
4414,negative
4915,negative
1394,neutral
5022,negative
2328,negative
3830,negative
1865,negative
3063,neutral
269,neutral
3056,neutral
2832,neutral
3077,negative
320,negative
73,neutral
1730,negative
3155,negative
5078,negative
3538,negative
2118,negative
2673,negative
4657,neutral
927,neutral
3734,negative
637,neutral
4304,negative
4130,neutral
3901,negative
4356,negative
4167,negative
3807,neutral
2720,neutral
2454,neutral
3233,negative
1157,negative
2718,negative
502,neutral
2998,negative
4696,negative
1138,negative
4939,negative
4422,negative
1540,negative
3772,negative
4153,negative
3916,negative
884,negative
4142,neutral
3539,negative
2672,negative
1943,negative
3089,negative
3657,negative
2725,neutral
367,negative
142,neutral
376,negative
837,negative
4170,negative
436,neutral
4389,negative
593,negative
4982,negative
3247,negative
392,negative
3093,negative
4258,negative
2982,negative
4523,negative
5049,negative
2700,neutral
1404,negative
5062,negative
3667,negative
345,negative
3112,negative
929,negative
3147,negative
880,negative
2087,negative
1561,negative
4756,negative
539,negative
4763,negative
5025,negative
3726,negative
1546,negative
3314,negative
452,negative
1691,neutral
3575,negative
4635,neutral
3723,negative
1800,neutral
3141,negative
164,negative
2435,neutral
1419,neutral
1892,negative
4196,negative
4350,negative
1365,negative
402,negative
1530,negative
4384,negative
4110,neutral
5089,negative
3202,neutral
4200,negative
3133,negative
3563,negative
3257,negative
2645,negative
3956,negative
2339,negative
3562,negative
2605,negative
4598,negative
4712,negative
4818,negative
2675,negative
5112,negative
1526,negative
2724,neutral
1196,neutral
3524,negative
4194,negative
2374,neutral
3318,neutral
4420,negative
4088,neutral
1044,neutral
2843,negative
3996,negative
3545,negative
22,negative
732,negative
2816,negative
2732,neutral
2167,negative
718,neutral
632,negative
1102,negative
2060,neutral
4290,negative
1955,negative
1835,negative
3674,neutral
3205,negative
1837,neutral
3722,negative
511,neutral
2387,negative
3175,negative
2950,negative
4831,negative
4184,negative
4584,negative
3797,neutral
4468,neutral
280,negative
1520,negative
3482,negative
788,neutral
1158,negative
3661,negative
1507,negative
931,negative
4160,negative
984,neutral
2552,neutral
1972,negative
2968,negative
1967,negative
1957,negative
2706,negative
993,neutral
3125,negative
1872,neutral
4148,neutral
2447,neutral
4901,negative
2126,negative
4423,negative
3949,negative
2143,neutral
4848,negative
4888,negative
1078,negative
1028,neutral
690,negative
5003,negative
3544,negative
2980,negative
3850,negative
4159,negative
389,negative
3699,negative
3223,negative
5074,negative
701,negative
1153,neutral
2091,negative
2727,neutral
516,neutral
2319,neutral
4764,negative
3529,neutral
3728,negative
2617,negative
4465,negative
5086,negative
316,negative
1811,negative
2865,negative
4849,negative
3727,negative
2862,neutral
1676,negative
3794,neutral
802,negative
451,negative
5005,negative
4830,negative
4158,negative
4841,negative
828,neutral
4004,negative
1156,negative
597,negative
3867,negative
4395,negative
485,negative
1832,negative
4086,neutral
934,negative
318,negative
5028,neutral
4073,negative
2366,neutral
2783,negative
2875,neutral
3420,negative
783,negative
3664,negative
874,negative
4301,negative
1884,neutral
2002,negative
3989,negative
3732,negative
3555,negative
69,negative
3703,neutral
2713,neutral
2961,negative
1380,negative
3522,negative
4850,negative
2670,negative
1278,neutral
153,negative
3536,negative
118,negative
866,negative
3278,negative
2371,neutral
2462,negative
625,negative
2692,negative
4602,negative
4938,negative
1515,negative
3583,negative
3736,negative
825,neutral
3787,negative
3488,negative
1739,negative
868,neutral
965,negative
4711,negative
3673,neutral
75,negative
3332,negative
1413,negative
2561,neutral
3426,negative
2459,neutral
3380,neutral
621,neutral
56,neutral
1362,negative
4337,negative
2663,negative
1932,negative
1386,negative
2313,negative
3416,negative
1689,negative
1264,negative
1781,neutral
1784,negative
3829,neutral
4446,negative
832,negative
2809,negative
4781,negative
3430,negative
2726,neutral
3577,neutral
4048,negative
669,neutral
3924,negative
2923,negative
865,neutral
3347,negative
3207,negative
1056,negative
4958,negative
3785,negative
1948,negative
85,neutral
928,negative
2641,negative
4298,negative
3384,neutral
4923,negative
1444,negative
4593,negative
4095,neutral
1886,negative
4440,negative
39,neutral
433,neutral
4119,neutral
385,negative
2842,negative
676,negative
1389,negative
3105,negative
1755,negative
4829,negative
2312,negative
3693,neutral
4080,neutral
2931,negative
3557,negative
4161,negative
3776,negative
3768,negative
4855,negative
4524,neutral
2070,negative
1838,negative
5076,negative
3337,negative
3950,negative
1846,neutral
3782,negative
3967,negative
1125,neutral
473,negative
426,neutral
3792,negative
4066,negative
1692,neutral
3353,negative
248,negative
3892,negative
4908,negative
4629,negative
4563,neutral
1855,negative
4525,negative
2040,negative
2340,negative
1193,neutral
425,negative
1857,negative
847,neutral
4151,neutral
2812,negative
2960,negative
93,negative
1575,negative
3164,negative
3076,neutral
4949,negative
5064,negative
340,neutral
4745,negative
3808,neutral
4700,negative
606,negative
3915,negative
3942,negative
2984,neutral
1396,negative
4834,negative
752,neutral
2898,negative
2039,negative
4262,negative
3330,neutral
457,negative
1282,neutral
72,negative
3017,neutral
1698,negative
131,negative
4343,negative
3721,negative
4980,negative
693,neutral
5081,negative
201,negative
2665,neutral
3405,negative
870,neutral
2361,neutral
347,negative
2687,neutral
3412,negative
2699,negative
4463,neutral
1902,negative
169,negative
2514,negative
4558,neutral
1978,negative
437,neutral
3041,neutral
2916,neutral
2615,neutral
4091,neutral
1279,neutral
4269,negative
2547,negative
3866,neutral
1929,negative
3878,negative
4705,negative
3267,neutral
2841,negative
1829,negative
614,neutral
3920,neutral
2710,neutral
1853,neutral
4370,negative
4866,negative
3193,negative
398,negative
4569,negative
4360,negative
1543,negative
3080,negative
2774,negative
1104,neutral
3225,negative
4687,negative
2129,negative
4367,negative
3568,negative
1068,neutral
3947,negative
1977,negative
5083,negative
2464,negative
2833,neutral
4034,negative
4299,negative
994,neutral
3107,negative
4596,negative
719,negative
198,neutral
2662,negative
1058,neutral
5075,negative
4071,negative
2992,neutral
2363,negative
4753,negative
3981,negative
1695,negative
4390,negative
642,negative
1480,negative
4274,negative
2311,neutral
1532,negative
3429,negative
104,neutral
1910,negative
4163,negative
3824,negative
1005,negative
5002,negative
1914,negative
2788,neutral
1488,negative
805,negative
2063,negative
1288,negative
1268,negative
4887,negative
140,neutral
937,negative
627,neutral
4854,negative
1509,neutral
1693,negative
1572,negative
1593,negative
179,negative
906,negative
1022,negative
648,neutral
4813,neutral
3051,negative
3483,negative
543,negative
2844,negative
3655,negative
4147,neutral
3140,negative
4924,negative
4166,negative
1738,negative
3137,negative
1367,negative
2643,negative
4798,neutral
379,negative
2708,neutral
608,negative
5087,negative
186,negative
4562,negative
1607,negative
1356,negative
2793,neutral
1071,neutral
685,negative
2696,neutral
2743,negative
4858,negative
1498,negative
4070,negative
1964,neutral
1220,neutral
2796,neutral
4188,negative
3977,negative
4592,negative
3778,negative
4551,negative
3167,negative
414,negative
1378,negative
24,neutral
1533,negative
3050,negative
5096,negative
190,negative
1927,negative
4204,negative
3670,negative
4902,negative
1333,negative
943,negative
330,neutral
1940,negative
2496,negative
3958,negative
302,negative
1014,negative
4994,negative
2881,negative
5067,negative
4989,negative
3256,negative
1878,negative
4654,neutral
3992,negative
196,negative
1912,neutral
1564,negative
4267,negative
232,negative
3183,negative
3636,negative
4401,negative
2564,negative
254,negative
664,negative
936,neutral
4462,neutral
3825,negative
3124,negative
2734,neutral
2763,negative
2404,negative
596,negative
3453,negative
2451,negative
2636,neutral
1284,neutral
4297,negative
1850,neutral
1123,negative
3832,negative
2054,neutral
3735,negative
219,neutral
2429,negative
1375,negative
1777,negative
4750,neutral
4198,negative
1266,negative
2747,negative
3615,neutral
2452,neutral
1410,negative
4019,negative
211,neutral
4884,negative
4416,negative
2448,neutral
1460,negative
1263,negative
3111,negative
2476,negative
3197,negative
181,neutral
134,negative
5124,negative
753,neutral
1402,negative
4933,negative
4145,neutral
2439,neutral
41,negative
1577,negative
2728,neutral
2723,neutral
4127,negative
633,negative
2903,neutral
3360,negative
1514,negative
4143,neutral
2602,negative
4428,negative
4797,negative
454,negative
234,negative
4840,negative
1906,negative
4542,negative
3925,neutral
4612,negative
4231,neutral
3546,negative
2913,negative
641,negative
3092,negative
3997,negative
1129,negative
4114,negative
4300,negative
1261,neutral
4398,negative
1870,neutral
795,neutral
4719,negative
4421,negative
1251,neutral
3644,negative
4062,negative
2690,negative
260,negative
4585,negative
2156,negative
4172,negative
4266,negative
938,neutral
2810,negative
3179,negative
4122,neutral
3885,negative
1840,negative
4346,negative
4739,negative
1627,negative
1945,negative
2801,negative
2024,neutral
2068,negative
243,neutral
1812,negative
4755,negative
919,negative
1180,neutral
2359,negative
30,negative
249,negative
854,negative
4892,negative
2056,neutral
2829,neutral
4853,negative
4203,negative
4765,neutral
1712,negative
2970,neutral
4053,neutral
483,neutral
4646,negative
1590,negative
1204,negative
1548,negative
344,negative
3784,negative
484,negative
97,negative
3434,negative
1822,negative
4132,negative
1992,negative
4140,negative
3941,negative
3316,neutral
3007,negative
2599,neutral
2379,neutral
4100,neutral
3710,negative
2058,neutral
3543,negative
2119,negative
838,negative
656,negative
3055,negative
358,neutral
180,neutral
1165,neutral
1779,negative
4403,negative
731,negative
1926,negative
374,neutral
4494,negative
205,negative
1331,negative
3793,negative
3307,negative
4154,negative
5058,negative
450,negative
2524,negative
3769,negative
188,negative
442,negative
4515,neutral
4876,negative
1583,negative
371,negative
4050,negative
4289,negative
4063,negative
1661,neutral
1441,neutral
1090,negative
4570,negative
486,negative
2356,negative
1565,negative
2369,neutral
245,neutral
146,neutral
5072,negative
2318,neutral
882,negative
1776,negative
1142,negative
106,neutral
5070,negative
2664,negative
4737,negative
3435,negative
3752,neutral
4974,negative
2125,negative
3184,negative
2619,negative
661,negative
2689,negative
3073,neutral
944,negative
4089,neutral
875,negative
2761,neutral
327,negative
2712,negative
591,neutral
602,negative
4671,neutral
3894,negative
689,negative
4624,negative
4824,negative
985,neutral
3058,negative
