guid,tag,pred,diff
4597,negative,negative,False
26,neutral,neutral,False
4383,negative,negative,False
212,positive,positive,False
2626,positive,positive,False
3042,neutral,neutral,False
4713,positive,negative,True
2073,negative,negative,False
2020,positive,negative,True
2688,negative,negative,False
4956,positive,positive,False
3143,positive,positive,False
3624,positive,positive,False
202,negative,negative,False
4486,positive,positive,False
4895,positive,positive,False
2855,positive,positive,False
3066,positive,positive,False
2100,negative,negative,False
3457,positive,positive,False
4776,positive,positive,False
4784,neutral,neutral,False
1921,positive,positive,False
951,negative,positive,True
231,positive,positive,False
396,neutral,neutral,False
1305,negative,negative,False
4001,negative,negative,False
3786,negative,negative,False
403,positive,positive,False
3669,negative,negative,False
3244,positive,positive,False
3922,negative,negative,False
1986,positive,positive,False
445,positive,positive,False
743,positive,positive,False
725,positive,positive,False
607,positive,positive,False
4208,positive,positive,False
138,positive,positive,False
1562,positive,positive,False
3874,positive,positive,False
2164,positive,positive,False
1383,negative,positive,True
1541,positive,positive,False
4002,negative,negative,False
2044,neutral,neutral,False
1688,positive,positive,False
2442,positive,positive,False
3888,positive,positive,False
1084,positive,positive,False
2787,neutral,negative,True
1437,positive,positive,False
3537,neutral,neutral,False
3452,negative,negative,False
4442,negative,negative,False
1534,negative,negative,False
3343,positive,positive,False
4744,positive,positive,False
4047,neutral,neutral,False
764,positive,positive,False
3907,positive,positive,False
4106,neutral,neutral,False
568,negative,negative,False
291,positive,positive,False
1355,positive,positive,False
2057,negative,negative,False
3788,positive,positive,False
1073,neutral,neutral,False
3095,negative,neutral,True
618,neutral,positive,True
542,negative,negative,False
195,negative,negative,False
500,positive,positive,False
940,positive,positive,False
2106,positive,negative,True
3215,positive,positive,False
3274,negative,negative,False
4511,positive,positive,False
1148,positive,positive,False
1502,negative,negative,False
4404,positive,positive,False
582,neutral,neutral,False
4709,positive,positive,False
399,positive,positive,False
2757,positive,positive,False
1547,negative,negative,False
1704,positive,positive,False
409,positive,positive,False
703,negative,negative,False
2069,negative,negative,False
1686,positive,positive,False
4414,negative,negative,False
3805,positive,negative,True
4043,positive,positive,False
4334,positive,positive,False
2997,positive,positive,False
4915,negative,negative,False
1394,neutral,neutral,False
5022,negative,negative,False
2328,negative,negative,False
1989,positive,positive,False
1757,positive,positive,False
1007,positive,positive,False
3993,positive,positive,False
3830,negative,negative,False
1610,positive,positive,False
4821,positive,positive,False
3647,positive,positive,False
1865,negative,negative,False
2384,positive,positive,False
561,positive,positive,False
78,positive,positive,False
3063,neutral,neutral,False
447,positive,positive,False
3627,positive,positive,False
4806,positive,positive,False
269,neutral,neutral,False
1203,positive,positive,False
1015,positive,negative,True
3056,neutral,positive,True
2832,neutral,neutral,False
